EGTM,FlightCycle,WashingData
73.029114,137,0
72.865768,138,0
72.623856,139,0
72.31517,140,0
71.923447,141,0
71.472755,142,0
71.018936,143,0
70.58252,144,0
70.206505,145,0
69.90274,146,0
69.68177,147,0
69.52916,148,0
69.418411,149,0
69.377647,150,0
69.427826,151,0
69.566269,152,0
69.752541,153,0
69.987129,154,0
70.245583,155,0
70.515373,156,0
70.777756,157,0
70.99366,158,0
71.173996,159,0
71.331093,160,0
71.470139,161,0
71.603699,162,0
71.737419,163,0
71.880096,164,0
72.035027,165,0
72.213074,166,0
72.380348,167,0
72.499397,168,0
72.538017,169,0
72.528168,170,0
72.478271,171,0
72.394333,172,0
72.306976,173,0
72.191681,174,0
72.073181,175,0
71.958771,176,0
71.861206,177,0
71.776711,178,0
71.721794,179,0
71.682846,180,0
71.650635,181,0
71.618439,182,0
71.559021,183,0
71.496201,184,0
71.435349,185,0
71.371086,186,0
71.3358,187,0
71.318138,188,0
71.348503,189,0
71.399567,190,0
71.459778,191,0
71.505104,192,0
71.54393,193,0
71.543114,194,0
71.513565,195,0
71.476677,196,0
71.441589,197,0
71.434319,198,0
71.454048,199,0
71.494125,200,0
71.543777,201,0
71.573792,202,0
71.543068,203,0
71.466103,204,0
71.337128,205,0
71.19207,206,0
71.047951,207,0
70.9403,208,0
70.898689,209,0
70.93203,210,0
71.046974,211,0
71.216225,212,0
71.444046,213,0
71.68988,214,0
71.906204,215,0
72.069695,216,0
72.178772,217,0
72.220406,218,0
72.191071,219,0
72.099663,220,0
71.96125,221,0
71.754074,222,0
71.499588,223,0
71.192719,224,0
70.857468,225,0
70.474274,226,0
70.065742,227,0
69.66143,228,0
69.301819,229,0
68.999435,230,0
68.79882,231,0
68.672211,232,0
68.600632,233,0
68.572418,234,0
68.580185,235,0
68.595451,236,0
68.617447,237,0
68.650284,238,0
68.717628,239,0
68.783249,240,0
68.84716,241,0
68.889496,242,0
68.874649,243,0
68.785721,244,0
68.62394,245,0
68.414192,246,0
68.159309,247,0
67.879959,248,0
67.579208,249,0
67.288399,250,0
67.020538,251,0
66.809998,252,0
66.673798,253,0
66.612404,254,0
66.647041,255,0
66.765594,256,0
66.930542,257,0
67.088196,258,0
67.242233,259,0
67.363083,260,0
67.439972,261,0
67.466019,262,0
67.464058,263,0
67.46109,264,0
67.45536,265,0
67.475891,266,0
67.509956,267,0
67.555878,268,0
67.610199,269,0
67.653137,270,0
67.669739,271,0
67.654709,272,0
67.591095,273,0
67.470604,274,0
67.287277,275,0
67.031387,276,0
66.733231,277,0
66.413422,278,0
66.08313,279,0
65.778519,280,0
65.495979,281,0
65.246887,282,0
65.061005,283,0
64.951637,284,0
64.892052,285,0
64.857727,286,0
64.808258,287,0
64.750252,288,0
64.667244,289,0
64.573685,290,0
64.510155,291,0
64.471512,292,0
64.48391,293,0
64.516815,294,0
64.593651,295,0
64.708694,296,0
64.872017,297,0
65.062744,298,0
65.27578,299,0
65.500381,300,0
65.718834,301,0
65.926605,302,0
66.105614,303,0
66.245575,304,0
66.331741,305,0
66.337341,306,0
66.281479,307,0
66.158852,308,0
65.997894,309,0
65.794914,310,0
65.59256,311,0
65.422951,312,0
65.297844,313,0
65.245293,314,0
65.262482,315,0
65.323303,316,0
65.413918,317,0
65.511658,318,0
65.619537,319,0
65.723244,320,0
65.813347,321,0
65.872528,322,1
65.949295,323,0
66.054108,324,0
66.248634,325,0
66.588707,326,0
67.121193,327,0
67.920044,328,0
69.013466,329,0
70.412392,330,0
72.07074,331,0
73.914444,332,0
75.850624,333,0
77.765091,334,0
79.57341,335,0
81.182526,336,0
82.500801,337,0
83.508797,338,0
84.211281,339,0
84.591507,340,0
84.704384,341,0
84.591484,342,0
84.362991,343,0
84.067146,344,0
83.756447,345,0
83.491791,346,0
83.281425,347,0
83.107712,348,0
82.972801,349,0
82.872795,350,0
82.782303,351,0
82.671562,352,0
82.542435,353,0
82.368591,354,0
82.155563,355,0
81.836296,356,0
81.465904,357,0
81.029778,358,0
80.577354,359,0
80.138626,360,0
79.739136,361,0
79.407707,362,0
79.143723,363,0
78.969223,364,0
78.857674,365,0
78.843758,366,0
78.939697,367,0
79.1129,368,0
79.346756,369,0
79.630608,370,0
79.927032,371,0
80.214973,372,0
80.448051,373,0
80.615974,374,0
80.698631,375,0
80.694283,376,0
80.589874,377,0
80.409119,378,0
80.163513,379,0
79.898834,380,0
79.667458,381,0
79.495613,382,0
79.39093,383,0
79.365875,384,0
79.399063,385,0
79.455894,386,0
79.533348,387,0
79.626457,388,0
79.696396,389,0
79.749054,390,0
79.771713,391,0
79.769814,392,0
79.750084,393,0
79.727295,394,0
79.709747,395,0
79.688713,396,0
79.648201,397,0
79.585281,398,0
79.477776,399,0
79.339325,400,0
79.158005,401,0
78.91217,402,0
78.600754,403,0
78.223846,404,0
77.828468,405,0
77.452629,406,0
77.129341,407,0
